StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-06-08T19:00+00:00Z,2022-06-08T20:00+00:00Z,10YSE-1--------K,MAW,B12,8968
2022-06-08T20:00+00:00Z,2022-06-08T21:00+00:00Z,10YSE-1--------K,MAW,B12,8761
2022-06-08T21:00+00:00Z,2022-06-08T22:00+00:00Z,10YSE-1--------K,MAW,B12,8482
2022-06-08T22:00+00:00Z,2022-06-08T23:00+00:00Z,10YSE-1--------K,MAW,B12,8217
2022-06-08T23:00+00:00Z,2022-06-09T00:00+00:00Z,10YSE-1--------K,MAW,B12,8150
2022-06-09T00:00+00:00Z,2022-06-09T01:00+00:00Z,10YSE-1--------K,MAW,B12,8216
2022-06-09T01:00+00:00Z,2022-06-09T02:00+00:00Z,10YSE-1--------K,MAW,B12,8244
2022-06-09T02:00+00:00Z,2022-06-09T03:00+00:00Z,10YSE-1--------K,MAW,B12,8469
2022-06-09T03:00+00:00Z,2022-06-09T04:00+00:00Z,10YSE-1--------K,MAW,B12,9629
2022-06-09T04:00+00:00Z,2022-06-09T05:00+00:00Z,10YSE-1--------K,MAW,B12,9900
2022-06-09T05:00+00:00Z,2022-06-09T06:00+00:00Z,10YSE-1--------K,MAW,B12,10041
2022-06-09T06:00+00:00Z,2022-06-09T07:00+00:00Z,10YSE-1--------K,MAW,B12,9955
2022-06-09T07:00+00:00Z,2022-06-09T08:00+00:00Z,10YSE-1--------K,MAW,B12,9908
2022-06-09T08:00+00:00Z,2022-06-09T09:00+00:00Z,10YSE-1--------K,MAW,B12,9850
2022-06-09T09:00+00:00Z,2022-06-09T10:00+00:00Z,10YSE-1--------K,MAW,B12,9801
2022-06-09T10:00+00:00Z,2022-06-09T11:00+00:00Z,10YSE-1--------K,MAW,B12,9762
2022-06-09T11:00+00:00Z,2022-06-09T12:00+00:00Z,10YSE-1--------K,MAW,B12,9715
2022-06-09T12:00+00:00Z,2022-06-09T13:00+00:00Z,10YSE-1--------K,MAW,B12,9807
2022-06-09T13:00+00:00Z,2022-06-09T14:00+00:00Z,10YSE-1--------K,MAW,B12,9932
2022-06-09T14:00+00:00Z,2022-06-09T15:00+00:00Z,10YSE-1--------K,MAW,B12,10012
2022-06-09T15:00+00:00Z,2022-06-09T16:00+00:00Z,10YSE-1--------K,MAW,B12,10090
2022-06-09T16:00+00:00Z,2022-06-09T17:00+00:00Z,10YSE-1--------K,MAW,B12,9555
2022-06-09T17:00+00:00Z,2022-06-09T18:00+00:00Z,10YSE-1--------K,MAW,B12,9513
2022-06-09T18:00+00:00Z,2022-06-09T19:00+00:00Z,10YSE-1--------K,MAW,B12,9349
2022-06-09T19:00+00:00Z,2022-06-09T20:00+00:00Z,10YSE-1--------K,MAW,B12,9032
2022-06-09T20:00+00:00Z,2022-06-09T21:00+00:00Z,10YSE-1--------K,MAW,B12,8856
2022-06-09T21:00+00:00Z,2022-06-09T22:00+00:00Z,10YSE-1--------K,MAW,B12,8350
2022-06-09T22:00+00:00Z,2022-06-09T23:00+00:00Z,10YSE-1--------K,MAW,B12,8591
2022-06-09T23:00+00:00Z,2022-06-10T00:00+00:00Z,10YSE-1--------K,MAW,B12,8607
2022-06-10T00:00+00:00Z,2022-06-10T01:00+00:00Z,10YSE-1--------K,MAW,B12,8614
2022-06-10T01:00+00:00Z,2022-06-10T02:00+00:00Z,10YSE-1--------K,MAW,B12,8459
2022-06-10T02:00+00:00Z,2022-06-10T03:00+00:00Z,10YSE-1--------K,MAW,B12,8888
2022-06-10T03:00+00:00Z,2022-06-10T04:00+00:00Z,10YSE-1--------K,MAW,B12,9699
2022-06-10T04:00+00:00Z,2022-06-10T05:00+00:00Z,10YSE-1--------K,MAW,B12,9924
2022-06-10T05:00+00:00Z,2022-06-10T06:00+00:00Z,10YSE-1--------K,MAW,B12,10078
2022-06-10T06:00+00:00Z,2022-06-10T07:00+00:00Z,10YSE-1--------K,MAW,B12,10122
2022-06-10T07:00+00:00Z,2022-06-10T08:00+00:00Z,10YSE-1--------K,MAW,B12,10077
2022-06-10T08:00+00:00Z,2022-06-10T09:00+00:00Z,10YSE-1--------K,MAW,B12,10035
2022-06-10T09:00+00:00Z,2022-06-10T10:00+00:00Z,10YSE-1--------K,MAW,B12,9924
2022-06-10T10:00+00:00Z,2022-06-10T11:00+00:00Z,10YSE-1--------K,MAW,B12,9859
2022-06-10T11:00+00:00Z,2022-06-10T12:00+00:00Z,10YSE-1--------K,MAW,B12,9806
2022-06-10T12:00+00:00Z,2022-06-10T13:00+00:00Z,10YSE-1--------K,MAW,B12,9660
2022-06-10T13:00+00:00Z,2022-06-10T14:00+00:00Z,10YSE-1--------K,MAW,B12,9684
2022-06-10T14:00+00:00Z,2022-06-10T15:00+00:00Z,10YSE-1--------K,MAW,B12,9062
2022-06-10T15:00+00:00Z,2022-06-10T16:00+00:00Z,10YSE-1--------K,MAW,B12,9059
2022-06-10T16:00+00:00Z,2022-06-10T17:00+00:00Z,10YSE-1--------K,MAW,B12,8953
2022-06-10T17:00+00:00Z,2022-06-10T18:00+00:00Z,10YSE-1--------K,MAW,B12,8616
2022-06-10T18:00+00:00Z,2022-06-10T19:00+00:00Z,10YSE-1--------K,MAW,B12,8230
2022-06-10T19:00+00:00Z,2022-06-10T20:00+00:00Z,10YSE-1--------K,MAW,B12,7961
2022-06-10T20:00+00:00Z,2022-06-10T21:00+00:00Z,10YSE-1--------K,MAW,B12,7590
2022-06-10T21:00+00:00Z,2022-06-10T22:00+00:00Z,10YSE-1--------K,MAW,B12,6611
2022-06-10T22:00+00:00Z,2022-06-10T23:00+00:00Z,10YSE-1--------K,MAW,B12,6255
